,workatdal,DalMedSchool,dalagriculture,SchulichLaw
0,"{'date': '01/31/2020, 19:45:07', 'full_text': '@workatdal is hiring! We’re looking for an Academic Staff Relations Manager (one-year term). Apply by Feb 10. Details at https://t.co/ResFADZF73 #DalCareers @DalhousieU'}","{'date': '01/29/2020, 13:01:56', 'full_text': '#dalTHANKS is happening today at noon. Swing by and take part in the celebration! https://t.co/wCXLWCeuJG https://t.co/PQ91ugP0CR'}","{'date': '02/01/2020, 14:25:49', 'full_text': ""RT @DalLibraries: Update #3, MacRae Library: It's back to business as usual as all three levels are now open. @dalagriculture @DalSecurity…""}","{'date': '01/31/2020, 18:53:44', 'full_text': 'RT @cmrherder: Wow, really honoured to see that my paper on lifecycle regulation @US_FDA is being read.\n\nHuge thanks to @commonwealthfnd fo…'}"
1,"{'date': '01/31/2020, 17:45:52', 'full_text': 'RT @dalplex: It’s Move More Month! Most people have given up on their resolution to be more active in 2020 but you aren’t most people, righ…'}","{'date': '01/28/2020, 01:15:06', 'full_text': 'Feds fund innovative health research happening at Dal, NSHA and IWK https://t.co/mmtXXPx2Z9'}","{'date': '02/01/2020, 14:25:26', 'full_text': 'RT @carolynvdh: We’re looking for an individual passionate about agriculture to join us!'}","{'date': '01/31/2020, 16:47:36', 'full_text': 'RT @DalLSS: #IDEALaw2020 is tomorrow @SchulichLaw! Check out @IDEALawDal’s Twitter page to learn more about the conference schedule and fea…'}"
2,"{'date': '01/31/2020, 14:35:05', 'full_text': 'RT @DalHRES: Join the Dalhousie community in celebrating the start of African Heritage Month! See you there! https://t.co/v3yDU5pID9'}","{'date': '01/27/2020, 14:35:40', 'full_text': 'RT @DalPres: Thanks to those from \u2066@DalHealth\u2069 \u2066@DalDentistry\u2069 and \u2066@DalMedSchool\u2069 for the bright and early welcome to Carleton Campus this…'}","{'date': '02/01/2020, 14:07:52', 'full_text': ""RT @DrIvanJoseph: There's a new quotient to develop: Gut Intelligence or GQ. When you increase your GQ, you allow your gut to guide you, yo…""}","{'date': '01/31/2020, 15:26:13', 'full_text': 'The Department of Justice has just released the ""State of the Criminal Justice System"" report. Read more: https://t.co/6GAtY9nvOc @DalhousieLSS https://t.co/UNxfytpIlY'}"
3,"{'date': '01/30/2020, 19:30:39', 'full_text': 'Are you looking to introduce a wellness initiative in your #DalhousieU faculty, dept or unit? Apply for a Dal Workplace Wellness Grant, and you could receive up to $5,000 funding. Details &amp; application are on myDal/HR/Health&amp;Wellness. Deadline is Feb 20, 4:30 pm. #DalWorkWell'}","{'date': '01/27/2020, 11:30:11', 'full_text': ""We're excited to welcome Dr. Deep Saini, Dalhousie University’s 12th president and vice-chancellor, to Carleton campus this morning. https://t.co/yVUuNx2zfu""}","{'date': '01/31/2020, 18:57:27', 'full_text': 'Do you have a passion for animals? Thought about making it a career? Join us for an online session to learn more! https://t.co/OuISRyTuWk'}","{'date': '01/31/2020, 15:13:41', 'full_text': 'RT @Dal_Alumni: Looking to connect with #DalAlumni near you? We’re hosting events in a variety of cities - sign up for great company and co…'}"
4,"{'date': '01/30/2020, 13:55:14', 'full_text': '🚩Attention faculty and staff! Volunteers still needed on Feb 4, 5 &amp; 6 for #DalLendAHand to help our friends @TheLoadedLadle to prepare/serve meals. Details at https://t.co/ZcXA9cucw2 https://t.co/xReUJ9efLX'}","{'date': '01/27/2020, 01:33:34', 'full_text': 'RT @DalPres: Looking forward to seeing you in the morning @DalDentistry @DalHealth @DalMedSchool! 🏷 @DalMedDean @brendini5 @DalhousieU http…'}","{'date': '01/31/2020, 15:52:32', 'full_text': 'Hey Grad Students! Registration is now open for Dal’s annual 3 Minute Thesis competition. 🗣⚡️ Contend for $4,000 in cash prizes and help Agriculture take home the #Dal3MT title. Sign up TODAY!👉🏾 https://t.co/87UxE8ldO2 (🏷@DalGradStudies) https://t.co/iVVRojp6Xk'}","{'date': '01/31/2020, 14:07:31', 'full_text': 'RT @HealthLawAtDal: TODAY!! @ 12:30PM: ""Scale Appropriateness in Food Law: Solution for Community Health Disparities?"" w/Catherine L. Mah &amp;…'}"
5,"{'date': '01/29/2020, 19:25:07', 'full_text': 'For #BellLetsTalk Day, take a few moments to be mindful and colour in this marvelous mandala. Life gets busy but taking a mental health moment to check in with yourself is important too! #EveryActionCounts @DalhousieU @DalHRES https://t.co/9imjxyfrDS'}","{'date': '01/24/2020, 19:01:19', 'full_text': ""Don't forget to join us at 8:00 a.m. Monday morning in the Tupper Link to welcome Dr. Deep Saini, Dalhousie University’s 12th president and vice-chancellor. https://t.co/aeD4ld72L0""}","{'date': '01/31/2020, 11:26:43', 'full_text': 'RT @DrIvanJoseph: Failure is part of success, not the opposite of success. Don’t be afraid to fail. It’s part of the journey. #DrIJo'}","{'date': '01/30/2020, 17:34:04', 'full_text': 'Read the latest from @jgdownie and the Halifax Group - ""MAiD Legislation at a Crossroads: Persons with Mental Disorders as Their Sole Underlying Medical Condition"" in @irpp - https://t.co/P6IYBUNsac'}"
6,"{'date': '01/29/2020, 17:40:08', 'full_text': '#DalThrive is a university-wide mental wellness initiative aimed at building a positive mental health environment for our community. https://t.co/XxdcwZd9FD @DalhousieU @DalHRES #BellLetsTalk #endstigma https://t.co/CyFt8oV1dW'}","{'date': '01/23/2020, 12:51:39', 'full_text': 'Registration is now open for Dal’s annual 3 Minute Thesis competition. Contend for $4,000 in cash prizes and help Medicine take home the #Dal3MT title. Sign up today: https://t.co/f7tH2qO2OO https://t.co/E6CI9A1bQa'}","{'date': '01/31/2020, 11:26:31', 'full_text': 'RT @DalBookstore: Please note: Tomorrow is the last Friday of the month and your last opportunity to return any textbooks without needing a…'}","{'date': '01/30/2020, 16:30:18', 'full_text': 'RT @DalhousieLJ: Our latest blog: https://t.co/zmicOAn40z @ResourcesLaw @SchulichLaw'}"
7,"{'date': '01/29/2020, 16:20:16', 'full_text': '@workatdal is hiring! We’re looking for an Academic Staff Relations Manager (one-year term). Apply by Feb 10. Details at https://t.co/ResFADZF73 #DalCareers @DalhousieU'}","{'date': '01/22/2020, 19:29:25', 'full_text': 'Join us on January 27th in the Tupper Link to welcome Dr. Deep Saini, Dalhousie University’s 12th president and vice-chancellor https://t.co/tfCrqDDKwJ'}","{'date': '01/30/2020, 17:19:57', 'full_text': 'RT @DalhousieU: Fill out the Campus Sustainability and Commuter Survey before February 14th, and you could win one of five $100 gift cards…'}","{'date': '01/30/2020, 15:48:27', 'full_text': '@Sara_G_Ross @DalhousieU Happy to have you join us!'}"
8,"{'date': '01/29/2020, 15:02:03', 'full_text': ""Today is #BellLetsTalkDay! Learn more about Dal's Employee &amp; Family Assistance Program (EFAP) and what's available to faculty &amp; staff for mental health support/resources. Watch this video: https://t.co/6wcc9wAGtR""}","{'date': '01/22/2020, 17:19:07', 'full_text': 'Dr. OmiSoore Dryden is hiring a #ResearchAssistant: https://t.co/BmEwmByEIk'}","{'date': '01/30/2020, 14:55:16', 'full_text': 'RT @DalLibraries: UPDATE, MACRAE LIBRARY: The Student Learning Commons ONLY will reopen at 12 p.m. Middle and lower floors remain closed as…'}","{'date': '01/30/2020, 15:48:02', 'full_text': '@LMcHugh_Russell Look forward to welcoming you!'}"
9,"{'date': '01/29/2020, 14:45:14', 'full_text': 'RT @Bell_LetsTalk: Today is Bell Let’s Talk Day. For every view of this video 👇, Bell will donate 5¢ towards Canadian mental health initiat…'}","{'date': '01/21/2020, 11:48:23', 'full_text': 'RT @dal_pgdean: Big thanks to @DalMedSchool PDs for accommodating @MUNMed students in @CaRMS_CA interviews today. YYZ  closed until Wed am…'}","{'date': '01/30/2020, 13:42:54', 'full_text': ""#TBT  The Women's Institute of Nova Scotia used to occupy this building now used by Friends of the Garden and is also the site of our new Outdoor Classroom. https://t.co/AQXNO9Dm3G""}","{'date': '01/29/2020, 19:15:04', 'full_text': ""Wise words from former President Barack Obama for #BellLetsTalk Day. If you're struggling, please reach out. @DalhousieLSS https://t.co/vq1cZn7xM9""}"
10,"{'date': '01/29/2020, 14:29:19', 'full_text': 'RT @SeamusORegan: Asking for help could be the bravest thing that you do in your life. #BellLetsTalk https://t.co/BuCOJkzJe3'}","{'date': '01/21/2020, 11:48:09', 'full_text': 'RT @DalMedDean: Dr Richard Kogan spoke of &amp; performed George Gershwin at TJ Murray Humanities Lecture \u2066@DalMedSchool\u2069. Outstanding event. T…'}","{'date': '01/30/2020, 12:02:25', 'full_text': 'RT @DrIvanJoseph: The road to success and the road to failure are almost exactly the same. - Colin R. Davis https://t.co/kOJW2WVA5i'}","{'date': '01/29/2020, 18:38:07', 'full_text': 'RT @ukings: Looking forward to this interdisciplinary conference @SchulichLaw this Saturday, which will explore how the media, the law, and…'}"
