,DalhousieU,DalStudentUnion,DalSecurity,DalResidence
0,"{'date': '02/01/2020, 00:07:02', 'full_text': ""Graduating this year and wondering what you're going to do with your degree? 🎓 Join the Professional Career Development Group and build a peer support network as you prepare to embark on the next chapter of your life! Details: https://t.co/aSz2q1A51O https://t.co/1DSxFKXdYy""}","{'date': '01/31/2020, 18:12:03', 'full_text': ""⚖️ The Social Activists Law Students' Association is hosting the IDEALaw Conference on Law, Social Activism and the Media. ⚖️ Panels and workshops will cover areas such as environmental racism, sexual violence, and youth justice. More info here! https://t.co/cb3E0t1KG1 https://t.co/oCWZUoaYHw""}","{'date': '01/30/2020, 14:54:52', 'full_text': 'RT @DalLibraries: UPDATE, MACRAE LIBRARY: The Student Learning Commons ONLY will reopen at 12 p.m. Middle and lower floors remain closed as…'}","{'date': '01/31/2020, 14:01:32', 'full_text': 'We heard you! Based on your feedback from the fall survey, our Food Services team is busy adding delicious new items in the dining halls - including Tortiere, Chicken balls, Pierogies, Vegan pizza, Nachos &amp; more! Read more about the changes here: https://t.co/JRSStV5qxm https://t.co/6YCF6w826Q'}"
1,"{'date': '01/31/2020, 20:00:21', 'full_text': 'Last fall, #DalhousieU received the Lord Dalhousie Panel’s scholarly report and apologized for its namesake’s views and actions on race and slavery. That was the beginning of a larger process of reconciling with the past and building a stronger future. https://t.co/ei0r81fAyY'}","{'date': '01/31/2020, 17:07:56', 'full_text': ""Drag Performer Callout! ✨ We're looking for student drag performers to be a part of our upcoming valentines day event, hosted by local drag trio Haus of Jeckyll! Happening 9-11pm on February 14th, reach out to dsu.programmingcommissioner@dal.ca if you want to get involved! https://t.co/8t7BfK4qi8""}","{'date': '01/27/2020, 22:01:19', 'full_text': '@ISUPD @AssaultCareCntr @my_isu_mu @DalHRES @DalStudentLife check this out... we should totally do something like this on our campuses!!'}","{'date': '01/30/2020, 22:00:45', 'full_text': ""It's time for your weekly roundup of what's happening in res! It's going to be a jam-packed weekend! And don't forget, Ecolympics kicks off Monday! Questions? Check with your RA or RPA for details. #DalSweetDal https://t.co/fd601tDzk6""}"
2,"{'date': '01/31/2020, 16:38:03', 'full_text': 'You’ve finished your presentation and have been rehearsing for a week, right? Now what? @DalStudentLife has 3 key tips for giving a departmental seminar: https://t.co/g4WDqAeqlC https://t.co/Cpb8REF5qc'}","{'date': '01/31/2020, 16:11:09', 'full_text': '🧥 🧢 Open now! 👕 👟 DSU Presidential Committee &amp; NSPIRG present the Community Closet, a safe space for anyone to take as much clothing as they need — no questions asked. Closet: SUB, 3rd floor Society Hub, Locker #1. Donation: Labeled bin beside the SUB first floor Info Desk.✨ https://t.co/xJJpELuHCs'}","{'date': '01/27/2020, 21:45:51', 'full_text': 'RT @DalMCRT: 🚨Hey @DalhousieU students! Are you interested in being a Volunteer Medical Responder or Mental Health Volunteer? 🚨 Application…'}","{'date': '01/30/2020, 13:05:06', 'full_text': ""It's Super Bowl this weekend!🏈  Looking to take in the action? Drop by one of the Super Bowl parties happening in residence! Want to watch from your room? Check out the streaming options at https://t.co/gJY2G1TIEs\n\nWho are you cheering on? Kansas City or San Francisco? https://t.co/SMUBlorck1""}"
3,"{'date': '01/31/2020, 14:35:01', 'full_text': 'In 2018, 32 female students received the first Women in Technology Scholarships. Since then, many have been benefitting from mentorship from female tech leaders in industry. ✨https://t.co/s2WWy0UNFH'}","{'date': '01/31/2020, 16:06:35', 'full_text': 'RT @dalfcs: Hey Grad Students! Registration is now open for Dal’s annual 3 Minute Thesis competition.\xa0🗣⚡️ Contend for $4,000 in cash prizes…'}","{'date': '01/27/2020, 13:13:08', 'full_text': 'Harlow building OPEN, Collins Building closed on Ag Campus https://t.co/492SMw5Fkb'}","{'date': '01/29/2020, 19:01:04', 'full_text': ""If you're looking for resources to improve your mental health, reach out to your RA or check out the programs available through the Student Health &amp; Wellness Centre: https://t.co/92sO02zMWM  #BellLetsTalk https://t.co/RAdQYpKL0U""}"
4,"{'date': '01/30/2020, 23:38:02', 'full_text': 'Please join us! 🗓 https://t.co/vzwSQp8Ibu'}","{'date': '01/31/2020, 16:04:36', 'full_text': 'RT @IDEALawDal: Another exciting addition to our Youth Justice and the Media panel: Jade Pictou! ⬅️⬅️ Swipe left to learn about this inspir…'}","{'date': '01/27/2020, 10:59:49', 'full_text': 'Harlow and Collins Buildings closed today on Ag Campus https://t.co/Q7txsaTJ6d'}","{'date': '01/29/2020, 12:45:05', 'full_text': ""It's #BellLetsTalk day! Take a few minutes to watch their video on Facebook on Instagram, or tweet using the #BellLetsTalk hashtag. Bell will donate to mental health programs. Don't forget to reach out and text or call a loved one! https://t.co/eBbvNtUNg5""}"
5,"{'date': '01/30/2020, 20:15:03', 'full_text': '#DalhousieU Chemistry Professor Alison Thompson has been honoured by the Association of Atlantic Universities with its Educational Leadership award, celebrating her efforts as a champion for accessible education. 🎉 (🏷 @SuperNOVAatDal) https://t.co/86oRNq6Isf'}","{'date': '01/31/2020, 16:04:30', 'full_text': 'RT @DalBookstore: On Mon., Feb 3, the Dalhousie Black Student Advising Centre is hosting The Power of Believing in yourself: An evening of…'}","{'date': '01/24/2020, 23:51:24', 'full_text': 'RT @DalIntcentre: \u2066Adam and Zihan of \u2066\u2066@DalSecurity\u2069 New Year greetings at the DCSSA celebration! https://t.co/RGuyZl2fsj'}","{'date': '01/28/2020, 14:30:15', 'full_text': 'This week! Your dietitian, Rai-Lee will be traveling the dining halls to chat about ""Maximizing your Meal Plan"" - healthy portions, navigating the options &amp; food hacks! 11:30 a.m. - 1 p.m. Today: Howe, Wed: O\'Brien, Thurs: Shirreff, Fri: Risley  More: https://t.co/LQA8Vbj5tK https://t.co/ilcRpyGQB8'}"
6,"{'date': '01/30/2020, 17:02:03', 'full_text': 'This month, a #DalhousieU team held the first-annual QAtCanSTEM Colloquium to help create a greater sense of feeling of camaraderie and freedom among scientists in the LGBTQ+ community. 👏https://t.co/Vz7AHqRzif'}","{'date': '01/31/2020, 14:30:57', 'full_text': ""For her final event at Dal/Kings @KimTallBear will be speaking on Decolonial Sex and Relations for a more Sustainable World at today's Philosophy Colloqium! Definitely something you won't want to miss!  😍✨ https://t.co/UoEOXRKzmg""}","{'date': '01/23/2020, 11:42:37', 'full_text': 'RT @DalTigers: The men’s basketball team would like to remind you that our #BellLetsTalk game is this Saturday at 1pm! The first 75 people…'}","{'date': '01/27/2020, 21:50:04', 'full_text': ""Something not quite working right? Need a little help from our maintenance team? Submit a Maintenance Request Form online! Head over to https://t.co/ZvWWHsNMf7 for detailed directions and links. If it's an emergency, don't forget to report it directly to residence staff too! https://t.co/lKcHRl45uL""}"
7,"{'date': '01/30/2020, 15:31:03', 'full_text': '#DalhousieU researchers are helping to solve some of the most complex global issues facing humankind. For Dr. Christine Chambers, it starts with improving pain management in children: https://t.co/1o0VJI1I6c (🏷 @DalVPR, @DalPres, @DrCChambers) #DALinnovates https://t.co/VtO2EVEqnS'}","{'date': '01/30/2020, 20:00:43', 'full_text': 'Community Closet opening soon! 🎉 Check out the launch party this Friday (Jan 31st) 12:30-3:30pm in the SUB Wellness room to get more information and chat with those involved in developing this awesome project! ✨ https://t.co/vCCqVwESIV'}","{'date': '01/21/2020, 13:03:13', 'full_text': '“Tax Refund” Email Scam Targeting University Students: What to Watch For https://t.co/KXSgUC3bkI'}","{'date': '01/25/2020, 16:01:02', 'full_text': 'Wishing all of our residents celebrating this weekend a Happy Lunar New Year and Spring Festival! We wish you luck, happiness, and prosperity in 2020! https://t.co/BPbCRGzJhY'}"
8,"{'date': '01/30/2020, 13:19:06', 'full_text': 'While #DalhousieU continues to actively monitor developments related to the 2019 Novel Coronavirus, the Public Health Agency of Canada indicates that the overall health risk in Canada remains low. https://t.co/2GhWcUAOiQ'}","{'date': '01/30/2020, 19:40:20', 'full_text': 'Upcoming in February! This collaborative project between students at McGill and University of Ottawa highlights an individual each day of February - who will discuss their lives, followed by a lesson on a notable moment/figure in Black Canadian history. ✨ https://t.co/eXl1U0xjas'}","{'date': '01/18/2020, 20:16:09', 'full_text': 'Environment Canada Snowfall Warning - Halifax Metro and Halifax County West https://t.co/kDrcD0p08f'}","{'date': '01/24/2020, 12:45:07', 'full_text': 'Do you have special dietary requirements? Look for these labels! We have items in the dining halls that are Vegetarian, Vegan, Halal, and No Gluten. Also make sure to look for the Sustainable Seafood and Locally Grown labels! https://t.co/CBHzj2RHeE https://t.co/j9eBcaqEda'}"
9,"{'date': '01/29/2020, 23:33:02', 'full_text': 'Fill out the Campus Sustainability and Commuter Survey before February 14th, and you could win one of five $100 gift cards to a grocery store and help improve sustainability initiatives on campus: https://t.co/GowJHIeypi (🏷 @DalOfficeSust) https://t.co/9QEBJyteWn'}","{'date': '01/30/2020, 19:12:27', 'full_text': 'RT @dalfacultyassoc: Still some seats left! Be sure to join us this Tuesday.  @ANSUT_Tweets @SMUFacultyUnion @DalStudentUnion @CAUT_ACPPU @…'}","{'date': '01/18/2020, 01:26:27', 'full_text': 'RT @DalLibraries: The Wallace McCain Learning Commons is closing early due flooding caused by a burst pipe. It will also be closed Sat., Ja…'}","{'date': '01/23/2020, 14:02:06', 'full_text': ""Starting today - it's the DalCard Passport contest! Pick up a passport at any retail location that accepts DalCard and collect stickers from five locations. You could with a DalCard prize pack (valued at $250) + a $100 DalCard Deposit. More: https://t.co/ZGfCI55fzD https://t.co/9h4PozEowh""}"
