,DalScience,DalLibraries,Dal_Alumni,DalGazette
0,"{'date': '01/31/2020, 19:00:00', 'full_text': ""Dal's @LetsTalkScience\npresents, Discover Women in STEM Day, in celebration of the International Day of Women and Girls in STEM. Stop by the Goldberg Computer Science Building from 10am-2pm on Feb 8. The event is free and you can register here: https://t.co/zvVVuMimnp https://t.co/nHypegGRVg""}","{'date': '01/31/2020, 15:55:20', 'full_text': ""Update #3, MacRae Library: It's back to business as usual as all three levels are now open. @dalagriculture @DalSecurity @memacinnis @Limpetman""}","{'date': '01/31/2020, 19:40:02', 'full_text': 'New @DalPres is keen to connect with #DalAlumni on Feb. 5 in #Halifax to learn from your experiences and together, strengthen our communities. Register here: https://t.co/NErRmoG0mq https://t.co/EoTUMmxQa3'}","{'date': '01/31/2020, 18:07:08', 'full_text': '💕💖💕💖💕💖💕 https://t.co/9RfwKeiRoE'}"
1,"{'date': '01/31/2020, 17:40:17', 'full_text': 'Hey Grad students! Registration is now open for Dal’s annual 3 Minute Thesis competition. 🗣⚡️ Contend for $4,000 in cash prizes and help @DalScience take home the #Dal3MT title. Sign up TODAY!👉🏾 https://t.co/Vb6kCYNkwk @DalGradStudies https://t.co/QVWmTEzGVn'}","{'date': '01/31/2020, 13:49:23', 'full_text': 'The Waldren photograph collection made the news! Our digitization coordinator, Shirley Vail, continues to scan and make available this rich collection of 45,000 glass plate, film negatives, and prints from the Waldren Studios of New Glasgow and Antigonish. https://t.co/P5smQgSb4C'}","{'date': '01/30/2020, 15:45:04', 'full_text': 'Looking to connect with #DalAlumni near you? We’re hosting events in a variety of cities - sign up for great company and conversations over refreshments! https://t.co/VmUCsYi0m0 https://t.co/ptBj7UMOKR'}","{'date': '01/31/2020, 17:54:24', 'full_text': 'Sorry about the broken link earlier! Here is our latest podcast episode: https://t.co/vabye666Jt'}"
2,"{'date': '01/07/2020, 15:47:38', 'full_text': 'RT @hfxconventions: Incredibly important #Oceans discussions are happening in our city &amp; Centre this week as part of the UN Decade of Ocean…'}","{'date': '01/30/2020, 19:35:37', 'full_text': 'UPDATE #2 MacRae Library: In addition to the Student Learning Commons, the middle level of the library is now open. The basement level remains closed until we assess the situation Fri am. More info: https://t.co/uh40DK4FmH @dalagriculture @DalSecurity @memacinnis @Limpetman'}","{'date': '01/29/2020, 19:30:34', 'full_text': 'RT @DalHealth: Thanks to everyone who came out for #dalTHANKS!\n\nPictured are some awesome @DalNursing students who wrote notes and took pic…'}","{'date': '01/31/2020, 01:50:54', 'full_text': 'RT @ThaMagicDragon: I almost killed myself while I was on the waitlist to see a therapist with dal health services but then I went home and…'}"
3,"{'date': '01/07/2020, 15:47:08', 'full_text': 'RT @DalhousieU: We’ve put a holiday spin on research at #DalhousieU! Today, Dr. Mary Anne White explains the anatomy of a snowflake. ❄️ Rea…'}","{'date': '01/30/2020, 14:54:23', 'full_text': 'UPDATE, MACRAE LIBRARY: The Student Learning Commons ONLY will reopen at 12 p.m. Middle and lower floors remain closed as clean-up continues. We will resume full operations, with access to all floors, at 5 p.m. @dalagriculture @memacinnis @Limpetman @DalSecurity'}","{'date': '01/29/2020, 19:17:17', 'full_text': 'RT @DalPres: Grateful to @Dal_Alumni and friends whose generosity makes a difference at #DalhousieU every day. https://t.co/KcKnpXgNFo'}","{'date': '01/29/2020, 17:56:04', 'full_text': ""RT @billlaheykings: Yesterday we shared findings of our scholarly inquiry on King's and slavery with @ukings community.  We must own this h…""}"
4,"{'date': '01/07/2020, 15:46:36', 'full_text': 'RT @DalhousieChem: Congratulations to Prof. Josef Zwanziger on being awarded 2020 Otto Schott Research Award for outstanding\nachievements i…'}","{'date': '01/30/2020, 13:30:37', 'full_text': '@NoetheMatt We do!'}","{'date': '01/28/2020, 19:55:01', 'full_text': 'Remember to register for the #Halifax Alumni Reception on Feb 5 to meet President Deep Saini and connect with your @DalhousieU alumni community! https://t.co/NErRmoG0mq'}","{'date': '01/29/2020, 17:23:07', 'full_text': ""RT @theeyeopener: @TheVarsity reports that U of T's student union has cut ties with the RSU\n\nhttps://t.co/HnLpZCkBtB""}"
5,"{'date': '01/06/2020, 19:06:57', 'full_text': 'RT @Dal_Alumni: Cheer on the @HFXThunderbirds as they take on the @MammothLax this Saturday, Jan 11 for the Dalhousie Students Welcome Back…'}","{'date': '01/30/2020, 13:27:44', 'full_text': ""We've partnered with Dal's Centre for Learning &amp; Teaching on a grant for @DalhousieU educators who want to adapt or create an Open Educational Resource (OER) or who want to investigate the impact of OERs on student learning. Apply now! https://t.co/CC0luYKzt8""}","{'date': '01/28/2020, 18:51:39', 'full_text': ""Jay Aaron Roy's (BA’07) story is this week's #WeAreDal profile. #DalAlumni https://t.co/epEzezX9OD""}","{'date': '01/29/2020, 15:28:38', 'full_text': 'This evening! https://t.co/avYMnoLFxh https://t.co/8zADlgc2BY'}"
6,"{'date': '01/01/2020, 04:00:00', 'full_text': ""Happy New Year from the Faculty of Science! In celebration of the new year, here is our Science As Calendar feature for January 2020. This photo was taken by Hayden Tackley, an alum from @Dal_ESnENVS. It's called SEA ANEMONE and was taken @DiscoveryCntr in Halifax. https://t.co/rZpr7i7BOb""}","{'date': '01/30/2020, 13:09:24', 'full_text': 'The MacRae Library is closed until at least 10 am due to a leaking pipe. We apologize for the inconvenience. More information is available here: https://t.co/yYIIKpKTCr @dalagriculture @memacinnis @Limpetman @DalSecurity'}","{'date': '01/23/2020, 22:06:01', 'full_text': 'Following the impact of the plane crash in Iran #DalhousieU students from the Iranian Student Society banded together to crowdfund a bursary. The Iranian Memorial Bursary will be awarded to a Dalhousie Iranian student in financial need every year.\nhttps://t.co/cHKF5WUd53'}","{'date': '01/27/2020, 18:50:02', 'full_text': 'RT @gabrielledrolet: Universities: Need help? Use our mental health services!\n\nThe services:\n-A golden retriever comes to the library once…'}"
7,"{'date': '12/23/2019, 13:40:40', 'full_text': 'RT @DalVPR: Even Santa has something to learn from Dr. Jeff Dahn and his Li-ion battery work! #DalProud @DalScience @DalPres @Tesla https:/…'}","{'date': '01/29/2020, 11:42:29', 'full_text': 'https://t.co/y4TE2e7n7z'}","{'date': '01/22/2020, 21:45:01', 'full_text': 'If you’re in the #Truro area: meet Dal’s new president @dalagriculture on Jan 28 and connect with fellow alumni. https://t.co/PD7R6LqglH'}","{'date': '01/27/2020, 15:52:51', 'full_text': 'RT @DalEnglish: Society HUB Boardroom: 4th Floor SUB\nJanuary 27th, 1:30pm - 2:30 pm\n\nJoin your fellow students in a FREE student-run writin…'}"
8,"{'date': '12/04/2019, 18:02:50', 'full_text': 'RT @DalGradStudies: Nancy Khalil from Mathematics and Statistics will defend their PhD thesis on December 5th entitled “Stability Analysis…'}","{'date': '01/27/2020, 18:33:04', 'full_text': 'https://t.co/lUCglF9BOk'}","{'date': '01/22/2020, 19:31:35', 'full_text': 'RT @DalHealth: On Jan. 29, we’re saying #dalTHANKS to the thousands of @Dal_Alumni and friends who make a difference at @DalhousieU and #Da…'}","{'date': '01/27/2020, 15:20:13', 'full_text': ""Yo! Come join us on Wednesday to learn about contributing to the paper. We'll be talking about fact-checking! Also, you can pick up any outstanding cheques before or after the meeting. https://t.co/PzfTUR3eNO https://t.co/WtoQVjgdM9""}"
9,"{'date': '12/03/2019, 14:44:15', 'full_text': ""Attention Dal Science alumni, it's your last chance to participate in the Dal Science Let's Connect contest. We'll be doing our final prize draw on Dec 13, 2019. To participate visit &gt;&gt;&gt;https://t.co/eYOzDWhlui \n@Dal_Alumni @DalNews https://t.co/KNB81GpuYZ""}","{'date': '01/27/2020, 13:03:11', 'full_text': 'RT @iwbconference: We are pleased to announce our keynote speaker, Dorene Bernard! She is a Mi’kmaw Grassroots Grandmother, Water Protector…'}","{'date': '01/22/2020, 14:05:42', 'full_text': 'RT @dalagriculture: #WhyAgriculture? Local and global sustainability. What is your Why Agriculture? https://t.co/lg2BWPX0d9'}","{'date': '01/27/2020, 14:46:50', 'full_text': 'RT @DalSecurity: Harlow building OPEN, Collins Building closed on Ag Campus https://t.co/492SMw5Fkb'}"
