,DalStudentLife,DalMCS,DalhousieChem,DalGradStudies,_dalsha,DalTigers
0,"{'date': '01/31/2020, 19:40:08', 'full_text': 'Students, staff, and faculty - come one, come all! The 5th Dalhousie Mental Health Forum will be happening this Tuesday, February 4th in the McInnes Room of the SUB, from 4-5:30pm. Want to see a change in the mental health initiatives at Dal? Have your voice heard! https://t.co/9jku2QrvOc'}","{'date': '01/30/2020, 18:19:36', 'full_text': 'RT @DALBSSC: Are you a Dal student graduating in 2022? Scotiabank wants to reward you for believing in yourself &amp; not being afraid to show…'}","{'date': '01/30/2020, 20:44:44', 'full_text': 'RT @DalhousieU: #DalhousieU Chemistry Professor Alison Thompson has been honoured by the Association of Atlantic Universities with its Educ…'}","{'date': '01/31/2020, 17:37:18', 'full_text': 'Are you someone who needs your personal space? Sperm whale researcher Taylor Hersh is used to living in close quarters on a sailboat ⛵️ for extended periods of time. Find out her tips for overcoming this and other challenges of graduate fieldwork: https://t.co/qMLvsWhLQV https://t.co/AyXUyeZupR'}","{'date': '01/31/2020, 22:28:31', 'full_text': 'RT @DalScience: Hey Grad students! Registration is now open for Dal’s annual 3 Minute Thesis competition. 🗣⚡️ Contend for $4,000 in cash pr…'}","{'date': '02/01/2020, 02:35:17', 'full_text': 'RT @gocapersgo: @DalTigers defeat @gocapersgo 83-74 MBB.  @AUS_SUA'}"
1,"{'date': '01/31/2020, 19:20:09', 'full_text': 'Struggling to wake up in the mornings? We have a whole blog post about how to start getting up earlier, and maybe even actually enjoy it! Read our tips here: https://t.co/NhLflvAqtD #dalstudentlife #dalhousieu'}","{'date': '01/30/2020, 14:44:12', 'full_text': 'First year BComm students! Check out these tutorial sessions for your job application assignment. Register on https://t.co/HCWr0xn9ua or drop in! https://t.co/21t0ofsfMc'}","{'date': '01/27/2020, 20:09:04', 'full_text': 'Another excellent speaker this Friday: https://t.co/47lPRb7UDW'}","{'date': '01/31/2020, 15:17:26', 'full_text': ""Don't forget to sign up for Monday afternoon's free 3 Minute Thesis preparation workshop for international students from @DalhousieESL - learn tips for delivering and structuring a short presentation in your research area. Register here:  https://t.co/mBHAvS5ooR https://t.co/YiqqB79KMZ""}","{'date': '01/31/2020, 22:27:23', 'full_text': 'RT @Dal_Alumni: New @DalPres is keen to connect with #DalAlumni on Feb. 5 in #Halifax to learn from your experiences and together, strength…'}","{'date': '02/01/2020, 01:35:16', 'full_text': ""MHOC: Unlike Monday night's game, @UPEIPanthers score the OT winner to take the game 4-3. @AUS_SUA #GoTigers #FearTheRoar""}"
2,"{'date': '01/31/2020, 15:41:19', 'full_text': '@LaurenRMoritz @DalhousieU @workatdal WellTrack was phased out earlier this year. It has been replaced with a new app called TAO, which is now available for #DalhousieU students. Visit https://t.co/gWVB4qDOER to learn more! We are also here if you would like to chat. Feel free to DM us!'}","{'date': '01/29/2020, 19:56:14', 'full_text': 'First year BComm students! Register now on https://t.co/HCWr0xn9ua! https://t.co/MM8oZblhzW'}","{'date': '01/27/2020, 17:00:45', 'full_text': 'Congratulations to Prof. Alison Thompson on receiving the 2020 Clara Benson Award presented to recognize a woman who has made a distinguished contribution to chemistry while working in Canada. @DalhousieU @DalScience @CIC_ChemInst @ThompsonLabDal'}","{'date': '01/31/2020, 13:27:21', 'full_text': 'RT @DrCChambers: So proud of my awesome @DalGradStudies PhD student @YvonneBrandelli for giving this fantastic presentation, and all her cr…'}","{'date': '01/31/2020, 21:54:59', 'full_text': 'RT @fsc_ccf_en: Canadians are among the best-educated people on the planet. But are they getting the education they need — particularly in…'}","{'date': '02/01/2020, 01:30:24', 'full_text': ""MHOC: Starting to feel like Groundhog Day here at the Forum, despite it being 2 days away. This game is looking like Monday night's.  @UPEIPanthers @AUS_SUA #GoTigers #FearTheRoar""}"
3,"{'date': '01/31/2020, 15:01:11', 'full_text': ""Interviews can be tough and intimidating, and can feel like you never quite get it right. With the Job &amp; Career Fair coming up on Feb. 13, we thought we'd share our post on 10 things that you should never do in a job interview: https://t.co/YJoElNHRDG #dalstudentlife #dalhousieu""}","{'date': '01/28/2020, 18:15:14', 'full_text': 'RT @COVE_Ocean: 📢ATTENTION STUDENTS!🎓We are now accepting applications for the COVE Internship Pilot Program. Apply today at https://t.co/5…'}","{'date': '01/27/2020, 13:55:45', 'full_text': ""Today's seminar speaker, Prof. Tim Storr from @SFUChemistry will be talking about Ligand Design in Bioinorganic Chemistry. https://t.co/4yQe0yLAr3""}","{'date': '01/31/2020, 12:55:49', 'full_text': ""Today's 3MT motivation comes from 2019 finalist and @Dal_micro_immun grad Emma @FinlaysonTrick. Learn more and register for this year's 3 Minute Thesis competition at https://t.co/E8rmXsRXUH https://t.co/ATQ7x2Amgx""}","{'date': '01/31/2020, 21:53:45', 'full_text': 'RT @dalideahub: Come learn tips and tricks on how to pitch yourself to potential employers for the @HfxPartnership  #HireMeHalifax Pitch Co…'}","{'date': '02/01/2020, 01:29:27', 'full_text': ""MHOC: Regulation ends in a 3 all tie. We're headed to OT once again. @UPEIPanthers @AUS_SUA #GoTigers #FearTheRoar""}"
4,"{'date': '01/30/2020, 19:20:11', 'full_text': 'Need some #studyspotinspo? Check out our post on our favourite places to study around #DalhousieU campus - and off-campus, too! https://t.co/SPCkAph5IT #dalstudentlife'}","{'date': '01/23/2020, 16:11:41', 'full_text': 'Feeling anxious about life after university? If so, register today for this CCR approved group!  Winter 2020 Professional Career Development Group open to senior year students graduating in Spring or Fall 2020\nFull details at: https://t.co/CN7zasaaAT'}","{'date': '01/23/2020, 14:02:35', 'full_text': 'RT @CIC_ChemInst: The 2020 winner of the @CanLightSource T.K. Sham Award in Materials Chemistry is Professor Mary Anne White from @Dalhousi…'}","{'date': '01/30/2020, 18:09:08', 'full_text': ""Learn how to work together at @MitacsCanada's upcoming training session for graduate students and postdocs, taking place at the Halifax Marriott Harbourfront Hotel, 1991 Upper Water St. on February 14th. Find out what's covered and register at https://t.co/lT7YpFVEyH https://t.co/jO60a0jsw0""}","{'date': '01/31/2020, 21:53:34', 'full_text': ""RT @DalStudySuccess: Midterm exams are coming up... here's a video of 13 great study tips to help you succeed this semester! https://t.co/L…""}","{'date': '02/01/2020, 01:26:46', 'full_text': 'MHOC: TIGERS GOAL! 🚨 The extra skater pays off as Campbell Pickard ties the game at 3 with 0:51 left in the game. @UPEIPanthers @AUS_SUA #GoTigers #FearTheRoar'}"
5,"{'date': '01/30/2020, 18:01:17', 'full_text': 'Have you entered the DalCard Passport contest yet? Pick up a passport at any retail location that accepts DalCard &amp; collect stickers from 5 locations for a chance to win a $250 prize pack &amp; a $100 DalCard Deposit! https://t.co/6LdXSYxCIG #dalhousieu #dalstudentlife https://t.co/XhoZBEbD7h'}","{'date': '01/23/2020, 16:06:00', 'full_text': 'RT @AskAManager: let’s talk about bombed interviews and other job search mortifications https://t.co/4KWnhQEq4g'}","{'date': '01/23/2020, 14:02:07', 'full_text': 'RT @TurculetChem: I’m behind in my twittering, but wanted to belatedly acknowledge a fascinating and informative departmental seminar this…'}","{'date': '01/30/2020, 15:28:57', 'full_text': 'Where can a graduate degree from @DAL_FASS take you? Find out at our upcoming panel event featuring four FASS alumni, including Jenny Benson Pratt, Policy &amp; Research Analyst and President, @AningaProject. Register at  https://t.co/MyybuCeunP https://t.co/xjzqYZS0KW'}","{'date': '01/31/2020, 20:05:37', 'full_text': 'RT @DalhousieU: Kick-off African Heritage Month with @DalBSAC at an evening of empowerment with @Reneehortonphd! ✨ https://t.co/7IioK4F5EO'}","{'date': '02/01/2020, 01:25:49', 'full_text': 'MHOC: With just over 1 minute left in the 3rd ypur Tigers pull Connor Hocks from goal to add the extra skater. @UPEIPanthers @AUS_SUA #GoTigers #FearTheRoar'}"
6,"{'date': '01/29/2020, 23:20:05', 'full_text': 'The Job &amp; Career Fair is coming up in just over 2 weeks! Want to pick up tips on getting your resume noticed and preparing for the fair? Register for these workshops happening on Feb 4 on myCareer! 📸: Carolina Bustamente #dalstudentlife #dalhousieu https://t.co/HfCoL6oxgM'}","{'date': '01/22/2020, 14:05:28', 'full_text': 'Grand Challenges Canada’s 2020 #summerstudent program is now accepting applications! Apply by January 24: https://t.co/swknriFhUV @gchallenges'}","{'date': '01/22/2020, 15:33:15', 'full_text': 'Our seminar speaker this week: https://t.co/t5tV5yKauU'}","{'date': '01/30/2020, 13:50:26', 'full_text': 'Great to see Dal Graduate Students leading the discussion and pushing for change. Thank you @KeishaJeff56 and @tariajadi for your leadership. @DalVPR https://t.co/9WV51AHcqF'}","{'date': '01/31/2020, 19:59:29', 'full_text': 'RT @Ic3Rg: We are almost to #200Followers ... 🙌 Share our profile with anyone interested in #SelfManagement #ChronicConditions #HealthResea…'}","{'date': '02/01/2020, 01:24:40', 'full_text': 'MBB: at the half the Tigers are up 37-26 over @gocapersgo #GoTigers #FearTheRoar'}"
7,"{'date': '01/29/2020, 19:20:09', 'full_text': ""If you're overwhelmed by the major decision that is grad school, these four tips will help you decide if grad school is right for you! https://t.co/KT8A56tobx #dalstudentlife #dalhousieu""}","{'date': '12/06/2019, 15:31:20', 'full_text': 'RT @Dalhousie_SITE: If your budget is holding you back from hiring a #DalhousieU co-op student, you may qualify for the \n@nsgov Co-op Educa…'}","{'date': '01/15/2020, 21:31:38', 'full_text': 'RT @NSERC_CRSNG: Congratulations to Dr. Mary Anne White @DalhousieU !\nWell deserved! https://t.co/VZAMQY7jcp'}","{'date': '01/30/2020, 13:45:26', 'full_text': 'RT @DalhousieU: While #DalhousieU continues to actively monitor developments related to the 2019 Novel Coronavirus, the Public Health Agenc…'}","{'date': '01/31/2020, 19:59:24', 'full_text': 'RT @Ic3Rg: @DalHealth @_dalsha @DalNursing @DalhousieU @Dal_OT @DalHPI @DalGlobalHealth @dalhprosociety @dalideahub @RIM_DalMed https://t.c…'}","{'date': '02/01/2020, 01:20:52', 'full_text': 'MHOC: Just as @UPEIPanthers penalty expires they are headed back to the box for boarding to give your Tigers another PP. @AUS_SUA #GoTigers #FearTheRoar'}"
8,"{'date': '01/28/2020, 23:20:05', 'full_text': 'Want a chance to win one of five $100 gift cards to a grocery store AND help improve sustainability initiatives on campus? Fill out the Campus Sustainability and Commuter Survey before February 14! Link to the survey: https://t.co/qrphnWzeGK #dalstudentlife #dalhousieu https://t.co/ToxZOWE169'}","{'date': '11/22/2019, 18:36:56', 'full_text': 'RT @DALBSSC: Are you a Dal international student looking to get professional development through paid work on campus? Look no further! @Dal…'}","{'date': '01/10/2020, 17:12:26', 'full_text': 'Happening now! Come checkout research opportunities in the chemistry department. @DalScience @ConceptsChemDal @DalhousieU https://t.co/BiL2zXPQfV'}","{'date': '01/30/2020, 12:51:10', 'full_text': ""Here's your daily 3MT motivation, courtesy of 2019 finalist Alex Louli of @DalPhysAtmosSci. Learn more and register for this year's 3MT competition at https://t.co/E8rmXsRXUH https://t.co/7WMEjCGugZ""}","{'date': '01/31/2020, 19:25:32', 'full_text': 'RT @novascotiawx: Special Weather statement now in effect for all of #NS for the system expected Saturday afternoon - Sunday. The statement…'}","{'date': '02/01/2020, 01:17:29', 'full_text': 'MHOC: Tigers go back on the PP as @UPEIPanthers get called for high sticking. @AUS_SUA #GoTigers #FearTheRoar'}"
9,"{'date': '01/28/2020, 19:20:07', 'full_text': 'Here in North America, most of us welcomed the new year on January 1. But for a huge number of people and cultures around the world, the New Year has just arrived! Check out our post on the Lunar New Year here: https://t.co/Yrt5emRZoa #dalstudentlife #dalhousieu'}","{'date': '11/14/2019, 20:45:08', 'full_text': '@DalMgmt @DalCommerce curious to know more about our Corporate Tours? Next one is in #TO this spring! https://t.co/N6smbx6Fau…'}","{'date': '01/10/2020, 17:09:30', 'full_text': 'RT @ConceptsChemDal: @QAtCanSTEM organizer @LandonGetz (who is also a former first year teaching team member) wants you to know it’s not to…'}","{'date': '01/29/2020, 18:40:36', 'full_text': 'RT @DalhousieU: Are you a high-achieving student with significant extracurricular accomplishments? Potential Rhodes Canada Scholar applican…'}","{'date': '01/31/2020, 19:09:24', 'full_text': 'RT @CAHSPR: The #CAHSPR2020 conference theme centres on health equity. Did you know that @CIHI_ICIS has resources to help you measure &amp; rep…'}","{'date': '02/01/2020, 01:09:30', 'full_text': 'MHOC: Tigers have a chance to tie it up on the PP as @UPEIPanthers has to the box for hooking. @AUS_SUA #GoTigers #FearTheRoar'}"
