,DalManagement,EventsAtDal,DalPres
0,"{'date': '01/31/2020, 19:53:33', 'full_text': ""RT @EllenRiopelle: If you're into crafts and food and have some free time this Saturday come by the Alexander Keith's Brewery Market and su…""}","{'date': '09/23/2019, 19:19:49', 'full_text': 'Available from May to August each year, Shirreff Hall offers classic surroundings and contemporary service: https://t.co/Vv9ybhxSWz https://t.co/k2Kb9vCLxw'}","{'date': '01/31/2020, 22:27:49', 'full_text': 'RT @DalHRES: Join the Dalhousie community in celebrating the start of African Heritage Month! See you there! https://t.co/v3yDU5pID9'}"
1,"{'date': '01/31/2020, 19:51:19', 'full_text': 'RT @DalStudentLife: Students, staff, and faculty - come one, come all! The 5th Dalhousie Mental Health Forum will be happening this Tuesday…'}","{'date': '09/10/2019, 12:28:41', 'full_text': 'Welcome back, #DalhousieU students! Did you know that you can book classroom study space through Campus Bookings? https://t.co/dkdZC88wWX https://t.co/e8NacAddUz'}","{'date': '01/31/2020, 00:50:37', 'full_text': '@DrEmilyMarshall @DalMedDean This is precisely the kind of wide participation that will create what will be ‘our shared strategic plan’. @teribalser is doing such a great job of bringing us all together to focus on this shared cause.'}"
2,"{'date': '01/31/2020, 18:35:45', 'full_text': 'RT @YahiaAmeir: Interviewing @kbrooks_taxlaw was definitely a major highlight of 2019 for the @ReviewDalhousie. “I think running a second b…'}","{'date': '09/09/2019, 01:41:56', 'full_text': ""RT @DalhousieU: Dalhousie's campuses to be closed all day Monday, Sept. 9 https://t.co/V2ONlDlh5s""}","{'date': '01/29/2020, 20:58:11', 'full_text': 'Had the pleasure and privilege of hearing from members of our caucuses this afternoon. Thank you for everything you do to promote equity, diversity and inclusion at #DalhousieU. https://t.co/AaQKcTdidJ'}"
3,"{'date': '01/24/2020, 22:19:12', 'full_text': 'RT @RoweBusiness: We’re learning about new year celebrations in China, Korea and Japan at the International Student Success Program’s Lunar…'}","{'date': '09/05/2019, 12:10:31', 'full_text': 'The perfect setting for your ceremony, dinner, and dance.\nShirreff Hall Weddings https://t.co/Vv9ybhxSWz\n#Dal #summerwedding #DalhousieU #ShirreffHall https://t.co/FaKzuvxD7l'}","{'date': '01/29/2020, 18:16:50', 'full_text': 'Grateful to @Dal_Alumni and friends whose generosity makes a difference at #DalhousieU every day. https://t.co/KcKnpXgNFo'}"
4,"{'date': '01/24/2020, 22:18:39', 'full_text': 'RT @DalTigers: Congratulations to our Academic All-Canadians from @DalManagement! https://t.co/v652uJABK7'}","{'date': '07/26/2019, 15:37:10', 'full_text': 'Weddings in Shirreff Hall are truly one of a kind. https://t.co/Vv9ybhxSWz #DalWeddings https://t.co/LDZcSWBohj'}","{'date': '01/29/2020, 13:48:38', 'full_text': ""RT @DalhousieU: It's #BellLetsTalk Day! Here are 5 simple ways to help end the stigma that keeps too many who struggle with mental illness…""}"
5,"{'date': '01/23/2020, 17:06:16', 'full_text': 'Join newcomers and the emerging local entrepreneurial community on Saturday, February 1, 5-9 pm for a craft and food market to celebrate up-and-coming local businesses. Hosted by @EnactusDAL.\nhttps://t.co/MzI6o97RBT https://t.co/upuCPwVJeh'}","{'date': '07/24/2019, 18:14:45', 'full_text': 'Lots of locations on campus with character and ivy for your next event in #Halifax \nhttps://t.co/K4QGBuZfOm https://t.co/GBVIkRiYiS'}","{'date': '01/29/2020, 02:43:07', 'full_text': '@sblairreid @Dal_Alumni Thank you, @sblairreid'}"
6,"{'date': '01/23/2020, 17:04:24', 'full_text': 'RT @janetlmusic: Thinking about #gradschool? Join us for our #OpenHouse! Not in #Halifax? Not a problem. Join us virtually from anywhere ac…'}","{'date': '07/15/2019, 13:59:05', 'full_text': 'Excited to Welcome Canada Cup to #DalhousieU today @volleyballNS @VBallCanada https://t.co/WvO9XcKZ3E'}","{'date': '01/28/2020, 22:04:25', 'full_text': 'RT @teribalser: Welcome event for fellow @dalagriculture academic, and new @DalhousieU President, @DalPres. Great turnout and so much posit…'}"
7,"{'date': '01/22/2020, 21:33:29', 'full_text': 'Grad students: registration is now open for Dal’s annual 3 Minute Thesis competition. 🗣⚡️ Compete for $4,000 in cash prizes and help Management take home the #Dal3MT title. Sign up: https://t.co/b5o7vsXReW \ncc: @dalsimnews @DalGradStudies https://t.co/oVhmW5O4V6'}","{'date': '06/06/2019, 17:37:02', 'full_text': 'Shirreff Hall offers six different one-of-a-kind spaces for your wedding: https://t.co/Vv9ybhxSWz  #DalWeddings https://t.co/3LoBKVb9Bf'}","{'date': '01/28/2020, 21:02:30', 'full_text': 'RT @Limpetman: Great @dalagriculture Aggie welcome to our new President, Dr Deep Saini. @DalPres https://t.co/W34L9xV30t'}"
8,"{'date': '01/21/2020, 19:37:43', 'full_text': 'RT @Dal_Alumni: Volunteer alongside fellow #DalAlumni in Vancouver on Feb. 15 at the @VanFoodBank. The GVFB assists more than 28,000 people…'}","{'date': '05/10/2019, 19:30:35', 'full_text': 'Great spaces are available for events all around #DalhousieU in #Halifax! https://t.co/FwXZ2kLHLd'}","{'date': '01/28/2020, 20:57:06', 'full_text': 'Very special visit to our \u2066@dalagriculture\u2069 campus today. Looking forward to working closely with this community throughout my presidency. https://t.co/7PKvhkPgVL'}"
9,"{'date': '01/21/2020, 15:16:43', 'full_text': 'RT @dalethics: Who do you think demonstrates character, courage and ethical principles? Nominate a Canadian leader for the @scotiabank Ethi…'}","{'date': '03/25/2019, 20:15:09', 'full_text': ""In Shirreff Hall, you're encouraged to dance like no one's watching: https://t.co/Vv9ybhxSWz  #DalWeddings\n\n📷: @caitlyncolford https://t.co/Bl7BoQgcAR""}","{'date': '01/28/2020, 20:50:44', 'full_text': ""RT @workatdal: Tomorrow is #BellLetsTalk Day! Let's start a conversation with five simple ways - language matters, educate yourself, be kin…""}"
10,"{'date': '01/21/2020, 14:46:23', 'full_text': 'RT @DalhousieESL: Register for an advanced English language course today. One-on-one support and small class sizes! https://t.co/zX6jSPYmnl…'}","{'date': '03/18/2019, 20:22:13', 'full_text': ""You don't have to look far to find the charm in Shirreff Hall, our premier seasonal wedding venue: https://t.co/Vv9ybhxSWz  #DalWeddings https://t.co/RYyRRoxTeG""}","{'date': '01/27/2020, 20:58:19', 'full_text': 'Join me tomorrow on our @dalagriculture Campus! https://t.co/zD5MhuUny6'}"
11,"{'date': '01/21/2020, 14:46:10', 'full_text': 'RT @tonyrwalker1: SunChips’ failed noisy compostable packaging gets the last laugh https://t.co/EF5rCIh4gB @DalNews @DalManagement @Dalhous…'}","{'date': '03/04/2019, 17:35:49', 'full_text': '#DalWeddings culinary excellence, courtesy of @DalFoodServices: https://t.co/Vv9ybhxSWz https://t.co/r60PIrPAAx'}","{'date': '01/27/2020, 14:16:42', 'full_text': 'Thanks to those from \u2066@DalHealth\u2069 \u2066@DalDentistry\u2069 and \u2066@DalMedSchool\u2069 for the bright and early welcome to Carleton Campus this morning! https://t.co/l3XiP9ZE7r'}"
12,"{'date': '01/21/2020, 14:45:45', 'full_text': ""RT @janetlmusic: Thinking about #gradschool, but don't know where to start? Check out @dalsimnews at @DalhousieU.  Our #smallclasssizes, &amp;…""}","{'date': '02/19/2019, 20:23:21', 'full_text': 'Culinary flare is a staple at all #DalWeddings in Shirreff Hall, thanks to @DalFoodServices: https://t.co/Vv9ybhxSWz https://t.co/yI6WZGpEZw'}","{'date': '01/27/2020, 12:28:10', 'full_text': 'RT @DalHealth: There’s a great crowd here to welcome Dr. Deep Saini, our new @DalPres, at our Carleton campus! Come by the Tupper Link befo…'}"
13,"{'date': '01/14/2020, 21:18:55', 'full_text': ""RT @DalhousieU: You're invited to help us welcome our new @Dalpres! For a full schedule of welcome events: https://t.co/3k4F70gku9 https://…""}","{'date': '02/09/2019, 22:14:21', 'full_text': 'Available from May to August each year, Shirreff Hall offers classic surroundings and contemporary service: https://t.co/Vv9ybhxSWz https://t.co/95JfCHH96Y'}","{'date': '01/26/2020, 22:50:09', 'full_text': 'Looking forward to seeing you in the morning @DalDentistry @DalHealth @DalMedSchool! 🏷 @DalMedDean @brendini5 @DalhousieU https://t.co/1U5xWKXeff'}"
14,"{'date': '01/14/2020, 21:18:30', 'full_text': 'RT @DarrylLeroux: Excited that @KimTallBear will be in Kjipuktuk/Halifax in 2 weeks! Please share widely. https://t.co/G5FDjcbwo0'}","{'date': '02/07/2019, 20:36:36', 'full_text': 'Happy Chinese New Year 2019! @DalhousieU https://t.co/Tb5tM1ZNRT'}","{'date': '01/25/2020, 21:27:05', 'full_text': 'RT @DalTigers: WVB: 🏐 Final Score\n\nTIGERS WIN with 3 straight sets vs @MUNathletics . The score of the final @AUS_SUA set was 25-10 #FearTh…'}"
15,"{'date': '01/14/2020, 21:10:40', 'full_text': 'RT @DalPres: I look forward to beginning my time at #DalhousieU this Wednesday. See you soon. https://t.co/AOOICc9gaB'}","{'date': '02/04/2019, 15:39:26', 'full_text': 'Shirreff Hall offers four different one-of-a-kind spaces for your wedding: \nhttps://t.co/Vv9ybhxSWz #shirreffhallweddings #2019weddings \n\n📷 Caitlyn Colford Photography https://t.co/xfLoUvbisV'}","{'date': '01/25/2020, 16:24:25', 'full_text': 'Thank you Dr. Seymour Schulich for your immense generosity. #DalhousieU is proud to be one of the institutions where @SchulichLeaders can study and flourish in STEM. https://t.co/JM82mV5gHq'}"
16,"{'date': '01/09/2020, 17:37:58', 'full_text': 'Dal\'s School of Information Management (@dalsimnews) is 50 years old! Read about the ""small school with a huge impact"" and don\'t forget to join us for the next celebration coming up January 14th! https://t.co/PueKDgMJWe https://t.co/Njvs6W20Sa'}","{'date': '01/31/2019, 19:11:25', 'full_text': '#DalhousieU students looking for full time summer employment need look no further. Over 25 positions available between #Halifax and #Truro – apply via https://t.co/wG2E7cwq18  by Feb. 24. https://t.co/SL4tMC5lt5'}","{'date': '01/25/2020, 16:18:13', 'full_text': 'RT @DalhousieU: Our best wishes to all who are celebrating the #LunarNewYear!\nhttps://t.co/dmmcEht9Fe'}"
17,"{'date': '12/20/2019, 17:58:26', 'full_text': 'RT @dalsimnews: Join us for the Dalhousie-Horrocks National Leadership Lecture + Award Presentation (January 14th, 2020), featuring Leslie…'}","{'date': '07/13/2018, 18:07:12', 'full_text': 'We are very excited to welcome close to 300 Athletes and Supporters in the Athletes Village for the 9th Down Syndrome World Swimming Championships at @dalagriculture! \n\nhttps://t.co/f0YQMDcna7'}","{'date': '01/25/2020, 00:19:51', 'full_text': '@catherinemah @_dalsha @DalhousieU @emilyjago @Nate_GA_Taylor @noel_guscott @DalHealth It was such a joy to meet you @catherinemah and your colleagues! Best wishes for continued success and Impact of you lr work.'}"
18,"{'date': '12/20/2019, 16:24:55', 'full_text': 'Thanks to everyone who made 2019 such a great year! #bestnine #bestnine2019 #RoweLife https://t.co/QStcuxKpM0'}","{'date': '03/08/2018, 14:04:48', 'full_text': 'A happy #IWD2018, indeed. Today we celebrate our female Ancillary Services leaders Linda Parker and Heather Sutherland, pictured here with @DalPres. https://t.co/om36xyEXyP'}","{'date': '01/24/2020, 20:14:05', 'full_text': 'It was my privilege to meet The Hon. Arthur LeBlanc and The Hon. Patsy LeBlanc this afternoon to hear about some of the incredible medical research happening at #DalhousieU. https://t.co/TtyevTW5ev'}"
19,"{'date': '12/18/2019, 20:59:27', 'full_text': 'RT @DalhousieU: ""I said, ‘If I’m going back to school, I’m not going to do anything practical. I’m going to do something I love.’"" #WeAreDa…'}","{'date': '02/20/2018, 14:48:29', 'full_text': '.@StayAtDal receives a 2017 @bookingcom Guest Review Award: https://t.co/d4rRrRQxlF https://t.co/SaWhFVJDVi'}","{'date': '01/24/2020, 20:06:05', 'full_text': 'RT @catherinemah: Thanks @DalPres for stopping by @_dalsha! SHA and the Food Policy Lab are always ready for serious discussion about mini…'}"
20,"{'date': '12/18/2019, 20:45:17', 'full_text': 'RT @DalhousieU: We’ve put a holiday spin on research at #DalhousieU! Today, @tonyrwalker1 shares the ugly truth about ugly holiday sweaters…'}","{'date': '02/08/2018, 15:55:20', 'full_text': 'Hey #DalhousieU students – stop by the @DalStudentUnion and visit Charlene and Cameron to learn about our #Halifax summer student positions. https://t.co/tUMNTwkPE3'}","{'date': '01/24/2020, 17:06:11', 'full_text': 'A behind-the-scenes look at the first episode of the new “Deep Dive” video series. Stay tuned.... https://t.co/JyXdDf39Cx'}"
21,"{'date': '12/12/2019, 18:09:00', 'full_text': 'Each and every gift makes a difference. Gifts to Management provide experiential learning opportunities and relieve financial burden so that students can focus on studying. All gifts made before December 31st, 2019 will be issued a charitable tax receipt. https://t.co/1Q2wOovjue https://t.co/4YO5jy9GbM'}","{'date': '01/28/2018, 18:00:04', 'full_text': 'Great to have @PodcampHalifax with us on campus in #Halifax again this year. https://t.co/4wzv17oBxZ https://t.co/oZLBiGqiIn'}","{'date': '01/23/2020, 18:00:57', 'full_text': 'Just a small sampling of our 104 \u2066@DalhousieU\u2069 Academic All-Canadian winners at today’s Luncheon. Our star \u2066@DalTigers\u2069 come from coast to coast and beyond to this “University of Canada”. Congratulations!!! \u2066@DalStudentLife\u2069 \u2066@DalTigersAD\u2069 https://t.co/VGlWnimLWl'}"
22,"{'date': '12/12/2019, 18:02:31', 'full_text': 'RT @tonyrwalker1: Dal professor urges Haligonians to reduce and reuse this Christmas https://t.co/os6aPj38HW via @HalifaxToday'}","{'date': '01/22/2018, 14:35:00', 'full_text': 'Almost 100 years later and Shirreff Hall has retained its many charms, making it a premier seasonal wedding venue: https://t.co/Vv9ybhxSWz https://t.co/vL574rllaD'}","{'date': '01/23/2020, 16:49:03', 'full_text': 'This is what presenting an award to an Academic All-Canadian basketball star @DalhousieU looks like. Congratulations to all our stars @DalTigers! https://t.co/tnXkrTaBmx'}"
23,"{'date': '12/05/2019, 16:53:01', 'full_text': 'Thanks, @feednovascotia for the great photos from our volunteer session last week with Management staff and students! We had so much fun! More photos on Facebook: https://t.co/1vf1DTzz5o #MgmtCares #HolidayHelpers https://t.co/72QspS97ry'}","{'date': '01/18/2018, 14:57:15', 'full_text': ""Will we be seeing you this Sunday at @Brides2018? Our team is ready to chat with you about #DalhousieU's premier seasonal wedding venue Shirreff Hall: https://t.co/Vv9ybhxSWz #DalWeddings https://t.co/rZjFvx0S6d""}","{'date': '01/22/2020, 21:20:20', 'full_text': 'Thanks to our Sexton Campus community for the warm welcome today! I look forward to working together. https://t.co/zF1ey1Yg2n'}"
24,"{'date': '12/04/2019, 15:29:40', 'full_text': 'RT @DalhousieU: Canada’s Food Price Report is prepared each year by a team of researchers from #DalhousieU’s Agri-Food Analytics Lab and @u…'}","{'date': '01/11/2018, 14:02:53', 'full_text': 'Our team is looking forward to attending @Brides2018 at the new @hfxconventions on Sunday, Jan. 21. https://t.co/Vv9ybhxSWz #DalWeddings\n\n📷: @accedonox https://t.co/PGuDqjcvVM'}","{'date': '01/21/2020, 22:01:23', 'full_text': 'Looking forward to meeting @DalEngineering and @DalArchPlan students, faculty and staff tomorrow. https://t.co/ys1glJeP3J'}"
25,"{'date': '12/04/2019, 15:29:13', 'full_text': 'RT @janetlmusic: Watch @DalManagement SRES student talk about food prices this morning! @DalhousieU @DalMgmtDean https://t.co/sY0DzXzGnt'}","{'date': '01/01/2018, 16:28:21', 'full_text': 'Happy New Year from our team in #Halifax and #Truro. Wishing you the best in 2018! https://t.co/W9ps7VjsIl'}","{'date': '01/21/2020, 19:51:45', 'full_text': 'Thank you \u2066@DalhousieU\u2069 friends for your concerns about our “chocolate stealing” Fitzy. While she went through a tough 36 hours, she is all fine now and loving her new life in #Halifax. https://t.co/cAumJZarpv'}"
26,"{'date': '12/03/2019, 15:00:14', 'full_text': ""We're delighted to have Commerce alum @scottbrison as the new chancellor! https://t.co/iWaGngQYDu""}","{'date': '12/04/2017, 19:34:10', 'full_text': 'Our team was out in full force today at @dalagriculture visiting clients (and spreading holiday cheer) with #Dal200 holiday bulbs. https://t.co/iwZxGwKPOD'}","{'date': '01/20/2020, 16:23:44', 'full_text': 'RT @DalhousieU: In honour of Martin Luther King Jr. Day, let’s take a look back at Halifax-born James Robinson Johnston, the first African…'}"
27,"{'date': '11/29/2019, 21:09:22', 'full_text': ""RT @DalGradStudies: Don't wait until it's too late ⌛️ to apply for @DalOpenThink - the deadline to do so is Friday, November 29th! Join a s…""}","{'date': '11/25/2017, 16:07:55', 'full_text': 'Have you heard? This Tuesday, the long awaited and much anticipated @DalBookstore Yard Sale begins: https://t.co/HeblVm2g9a https://t.co/rh7JrBU8Gc'}","{'date': '01/17/2020, 17:26:02', 'full_text': '@kaul_prachi @DalhousieU Thank you! 🙏🏼'}"
28,"{'date': '11/29/2019, 21:08:19', 'full_text': 'RT @MartineDurierC1: Nova Scotia Health Authority emerging and experienced leaders presenting to senior executives! Dalhousie certificate i…'}","{'date': '11/23/2017, 19:55:23', 'full_text': 'And suddenly, our office got a little more festive. #Dal200 https://t.co/IZ4kuBtdPd'}","{'date': '01/17/2020, 17:20:52', 'full_text': 'Humbled by the turnout at today’s welcome reception. Looking forward to events on Sexton, Carleton and @dalagriculture in the coming days - and to writing the next chapter of #DalhousieU’s exciting story together. https://t.co/DUAMnaJmrf'}"
29,"{'date': '11/29/2019, 21:07:11', 'full_text': 'RT @HagenMarianne: Hey look at Margie + me in the freezer, lots of layers @DalManagement lots of fun  @feednovascotia https://t.co/QqfZc7VS…'}","{'date': '11/09/2017, 15:18:44', 'full_text': 'Ready to welcome guests to @DalFoodServices’ catering open house event today in Shirreff Hall. 🥘🌶🍮 https://t.co/PRG9VOLWwz'}","{'date': '01/17/2020, 14:33:35', 'full_text': 'Introducing Rani, my wife and partner extraordinaire; formally retired but never short of creative pursuits; can’t wait to get to know @dalhousieu and #novascotia communities! #dalhousieu https://t.co/dpuqWmso7T'}"
30,"{'date': '11/29/2019, 14:47:34', 'full_text': 'Faculty of Management volunteers are at @feednovascotia today helping to sort and pack boxes for distribution to community partners across the province! #mgmtcares https://t.co/B2QLmnffYF'}","{'date': '11/08/2017, 02:24:36', 'full_text': 'We were elated to welcome over 300 guests to Shirreff Hall this evening. #EventsAtDal #Dal200 https://t.co/O1tej54PvR'}","{'date': '01/17/2020, 04:13:59', 'full_text': '@DalVPR 🙏🏼'}"
31,"{'date': '11/28/2019, 21:25:34', 'full_text': ""Congrats to 2019's Sir Graham Day scholarship winners! The award was established to celebrate Sir Day's lifetime of achievement and to encourage students to participate in course work and work terms with a focus on family business, transportation or business–government relations. https://t.co/jlwqunIw2P""}","{'date': '10/12/2017, 20:47:00', 'full_text': ""Who doesn't like a little bit of candy to brighten up their workday? Our Sales Manager has been delighting clients all week. #MeetAtDal https://t.co/TkANBMDvsb""}","{'date': '01/17/2020, 04:12:08', 'full_text': '@teribalser Thank you, Teri, for the warm welcome.'}"
32,"{'date': '11/25/2019, 12:05:09', 'full_text': 'Isabelle Carron from @DalhousieSPA on her data analysis findings in a study on Indigenous issues during the federal election: https://t.co/2Vev4aT5aY'}","{'date': '10/12/2017, 13:34:30', 'full_text': '#DalOpenHouse is quickly approaching (Oct. 21) and @Dalnews is looking for staff/faculty volunteers: https://t.co/UZxrsoARIk https://t.co/sJGuhHyidj'}","{'date': '01/16/2020, 22:25:19', 'full_text': 'I look forward to meeting you tomorrow. https://t.co/q0BTuUp2RK'}"
33,"{'date': '11/24/2019, 02:17:46', 'full_text': 'Thank you to everyone who joined us at the @scotiabank @dalethics Gala tonight to hear @louise_arbour as she received the Ethical Leadership Award! Mme Arbour told our students that the best thing people like her can do for humanity is “get out of the way. I’m looking to you!” https://t.co/7imUws3ae7'}","{'date': '10/11/2017, 12:53:21', 'full_text': ""It's that time of year again – #DalHomecoming! What events are you attending?\n https://t.co/EbeFqRD2ro https://t.co/EZALbNapm1""}","{'date': '01/16/2020, 20:13:14', 'full_text': 'Students are the raison d’être of a university, so how poetic that the first person I met as I arrived in Halifax was a @dalhousieu student, @roahmerdad and her family! What an auspicious start! Looking forward to seeing many more of you around the campus... @DalStudentLife https://t.co/qYRCSF6x4w'}"
34,"{'date': '11/24/2019, 02:13:32', 'full_text': 'RT @CranstonAnna: The gala dinner @dalethics is abuzz with conversation as we eagerly wait to hear from@the Hon. Louis Arbour the 2019 reci…'}","{'date': '10/06/2017, 17:46:34', 'full_text': 'A reminder that our #Halifax and #Truro offices will be closed on Monday, Oct. 9. Happy #Thanksgiving! https://t.co/1Nfk1IPcZg'}","{'date': '01/15/2020, 17:19:44', 'full_text': 'RT @DalhousieU: For Dr. Deep Saini, arriving in Nova Scotia to serve as #DalhousieU’s 12th president and vice-chancellor brings him back to…'}"
