,DalArtsCentre,Dal_CSS,DalIntcentre
0,"{'date': '01/31/2020, 15:07:12', 'full_text': 'RT @FSPADal: Since its first performance in 1689, Purcell’s Dido and Aeneas has continued to engage audiences and endure as a gem in the op…'}","{'date': '11/04/2019, 22:32:56', 'full_text': 'RT @shiftkeylabs: Thank you to @UbisoftHalifax for their guidance and feedback to the participants during CSS GameJam 2019. \n\n@DigitalNS @D…'}","{'date': '01/26/2020, 15:34:37', 'full_text': 'RT @DalResidence: Wishing all of our residents celebrating this weekend a Happy Lunar New Year and Spring Festival! We wish you luck, happi…'}"
1,"{'date': '01/31/2020, 13:20:51', 'full_text': 'Back by popular demand, #Halifax! Legends of Motown is a 16-piece cast of singers &amp; musicians performing live look-a-like/sound-a-like tributes to The Supremes, The Four Tops, The Temptations, Marvin Gaye, Stevie Wonder, Jackson 5 &amp; more. Join them in the Rebecca Cohn on Mar. 28 https://t.co/TG7LWeOilt'}","{'date': '10/23/2018, 12:38:20', 'full_text': ""RT @dalfcs: Hear from some of @TD_Canada's senior female executives about #opportunities and how they are working with us to increase the n…""}","{'date': '01/26/2020, 12:38:27', 'full_text': 'Happy New Year! https://t.co/9KoV9i5Tki'}"
2,"{'date': '01/30/2020, 17:52:16', 'full_text': 'We are less than two months out from Geordie Brown In Concert in the Rebecca Cohn Auditorium on March 27. Have you purchased tickets yet, #Halifax? https://t.co/C59adKuy16 https://t.co/WGvVXYioMu'}","{'date': '09/11/2018, 12:22:02', 'full_text': 'RT @Venture4Canada: Our very first Intern Training Camp at  @shiftkeylabs is kicking off today! Head over to our InstaStories for live upda…'}","{'date': '01/25/2020, 00:57:06', 'full_text': 'More great entertainment at the Dal CSSA Lunar New Year celebration! https://t.co/gyoVK6rVK9'}"
3,"{'date': '01/28/2020, 19:30:42', 'full_text': '#Halifax! Join us in the Rebecca Cohn Auditorium on February 5 for A Musical Tribute to The Highwaymen, presented by @VaughnCoEnt. This will be a great show for fans of Willie Nelson, Waylon Jennings, and Johnny Cash! To purchase tickets: https://t.co/gqPE5JKgNE https://t.co/0nc6kemTdH'}","{'date': '08/18/2018, 23:33:35', 'full_text': 'RT @CleanFoundation: TOMORROW 1-4pm! Free hands-on repair workshop focused on small electronics/small appliances. Bring broken items to loc…'}","{'date': '01/25/2020, 00:28:21', 'full_text': 'Great entertainment at the Dal CSSA Lunar New Year celebration! Happy year of the rat! https://t.co/gcA7sz15sH'}"
4,"{'date': '01/24/2020, 17:56:55', 'full_text': 'Join @TheDerekSeguin in the Rebecca Cohn Auditorium on Feb. 15 for his Live &amp; Uncensored Comedy Tour, promoted by Hubcap Promotions! To purchase: https://t.co/gqPE5JKgNE #Halifax https://t.co/rFULjlGBEh'}","{'date': '07/14/2018, 01:57:26', 'full_text': 'RT @shiftkeylabs: Week 6: Final game demos @UbisoftHalifax. Thanks so much to Aaron, AJ, and all the students making this such a great expe…'}","{'date': '01/24/2020, 23:51:06', 'full_text': '\u2066Adam and Zihan of \u2066\u2066@DalSecurity\u2069 New Year greetings at the DCSSA celebration! https://t.co/RGuyZl2fsj'}"
5,"{'date': '01/24/2020, 15:36:33', 'full_text': 'RT @centrediscs: Available today from Centrediscs! Disponible maintenant de Centredisques!\n\nSARAH SLEAN &amp; SYMPHONY NOVA SCOTIA\nBernhard Gue…'}","{'date': '05/25/2018, 01:09:40', 'full_text': 'RT @dalfcs: Gearing up for our virtual lobby exhibit celebrating women in computing launch, drop by on June 3rd during Doors Open Halifax t…'}","{'date': '01/15/2020, 10:07:45', 'full_text': ""RT @DalhousieU: You're invited to help us welcome our new @Dalpres! For a full schedule of welcome events: https://t.co/3k4F70gku9 https://…""}"
6,"{'date': '01/23/2020, 15:11:55', 'full_text': 'RT @Dal_Alumni: On February 10, all are welcome to attend the #OpenDialogue with @childsoldiers at #DalhousieU with speakers Omar Khadr and…'}","{'date': '05/10/2018, 22:32:49', 'full_text': 'RT @shiftkeylabs: Thanks Premier @StephenMcNeil for visiting the NS Sandboxes bootcamp today. We really appreciate your support! @dalfcs ht…'}","{'date': '01/10/2020, 23:25:44', 'full_text': 'We’re sharing this on behalf of the Iranian Student Society. Our thoughts are with you.             Please note the change of venue. https://t.co/nbSEtGIfOm'}"
7,"{'date': '01/23/2020, 12:44:49', 'full_text': ""RT @SymphonyNS: DID YOU KNOW? Pink Floyd's album Dark Side of the Moon spent 14 years on the Billboard 200 chart?\n\nHear the entirety of thi…""}","{'date': '04/26/2018, 16:21:47', 'full_text': 'Hey @dalfcs students. Course Representative applications are open! Send us an email with your full name, year of study, Dal email, and the course(s) you would like to be a CR for. Check your Dal email for more details.'}","{'date': '01/10/2020, 23:10:00', 'full_text': ""RT @DalhousieU: Please note a change of venue for tomorrow's vigil to remember those who lost their lives in Wednesday's tragic airplane di…""}"
8,"{'date': '01/21/2020, 19:37:15', 'full_text': 'RT @SymphonyNS: Our new recording with Sarah Slean has been named one of ""10 upcoming Canadian classical albums to get excited about"" by CB…'}","{'date': '04/17/2018, 20:45:43', 'full_text': ""That's our #pres https://t.co/6elBwiTggl""}","{'date': '01/09/2020, 21:31:33', 'full_text': 'We’re sharing this on behalf of the Dalhousie Iranian Student Society. Our thoughts are with you. https://t.co/qU6bXU1mTQ'}"
9,"{'date': '01/21/2020, 18:31:00', 'full_text': 'NOTE: there has been a change to the start time of LETTERKENNY LIVE! Presented by @evenko and @OfficialPuppers. The Feb 28 event was originally scheduled for 6:30pm and will now start at 8:00pm. Please contact the Arts Centre Box Office with any questions regarding the change. https://t.co/DVZdFBLg0Z'}","{'date': '04/04/2018, 17:33:46', 'full_text': ""RT @WISEatlantic: We're seeking females working or studying in the Tech sector who are interested in mentoring girls, to attend a mentoring…""}","{'date': '01/08/2020, 21:10:41', 'full_text': '@awan_shazia @DalhousieU Hello Shazia, Supports for students are available at the International Centre, Health and Wellness, and Multi-Faith and others. Also, we’ve communicated with student groups to share information about the supports that are available at this very difficult time.'}"
10,"{'date': '01/20/2020, 12:37:02', 'full_text': 'RT @HeatherRankinMe: Island Girls is Coming Back! We’ll be @decostetweets in #Pictou April 18, @ImperialTheatre in #SaintJohn on April 19 a…'}","{'date': '04/04/2018, 17:33:15', 'full_text': 'RT @dalfcs: Women in IT Meetup is happening April 25th! Hosted by Tanya Janca, an Ottawa-based application security evangelist and Senior C…'}","{'date': '01/05/2020, 00:11:46', 'full_text': '@DalSecurity @DalHRES You sure did! Thanks for that!!'}"
11,"{'date': '01/18/2020, 17:31:01', 'full_text': 'RT @NSMassChoir: Warming up for tonight \u2066@DalArtsCentre\u2069 . A few tickets left, join us tonight! https://t.co/LXhvRtmXbl'}","{'date': '03/29/2018, 19:24:33', 'full_text': 'RT @dalfcs: Shared Services Canada is looking to interview current students, soon-to-be-graduates and recent Alumni for open positions in s…'}","{'date': '01/04/2020, 19:38:04', 'full_text': 'New Dalhousie international students learning about dating in Canada. Thank you \u2066@DalSecurity\u2069 and \u2066@DalHRES\u2069 https://t.co/BbFUJyujcu'}"
12,"{'date': '01/17/2020, 15:31:55', 'full_text': ""They're back at it again, #Halifax! Tickets to #IslandGirls, starring @HeatherRankinMe, Bette MacDonald, Lucy MacNeil, and Jenn Sheppard go on sale TODAY at NOON! To purchase: https://t.co/gqPE5JKgNE https://t.co/LVsNJRnuOm""}","{'date': '03/29/2018, 10:22:21', 'full_text': 'RT @DalPres: .@MyFutureisDal students: Did you know Halifax is ranked one of the friendliest cities in the world? Come join us! https://t.c…'}","{'date': '01/04/2020, 14:48:19', 'full_text': 'Day 2 of International Student Orientation. We have a full house - welcome to Dalhousie! \u2066@DalStudentLife\u2069 \u2066@DalhousieU\u2069 https://t.co/lmZj7d9WTu'}"
13,"{'date': '01/16/2020, 20:11:03', 'full_text': 'RT @SH_BordenColley: @NSMassChoir is busy with the Iast few rehearsals before our signature concert “The Dream Continues” - a musical tribu…'}","{'date': '03/26/2018, 19:26:27', 'full_text': 'Last half hour to vote in the CSS elections! https://t.co/KjZf0884Nt'}","{'date': '01/03/2020, 18:11:31', 'full_text': 'International students learning about Dalhousie supports and services. It’s awesome! \u2066@DalhousieU\u2069 \u2066@DalStudentLife\u2069 https://t.co/HFPpz7dlbG'}"
14,"{'date': '01/16/2020, 18:31:54', 'full_text': 'RT @wendyphillipspr: Just Announced! A Musical Tribute to The Highwaymen to tour The Maritimes, February 4-9. See them live in #Summerside,…'}","{'date': '03/12/2018, 11:42:34', 'full_text': 'RT @dalfcs: Society elections are well underway. Are you interested in @Dal_CSS , @DalCSGS , or @DalWiTS ? Check out their elections schedu…'}","{'date': '01/03/2020, 17:02:30', 'full_text': 'Are you finding Nova Scotia cold and wet? If so, the Dal International Centre has a coat to lend to you. Drop by before to pick one up before they run out! \u2066@DalStudentLife\u2069 \u2066@DalhousieU\u2069 https://t.co/J9F5Pt9LoI'}"
